name,id,salary_from,salary_to,experience,requirement,url
"Стажер Back-end разработчика: php, java, python, c#",82870265,15000,30000,Нет опыта,"Знание одного из языков: php, python, java, c#. Наличие учебного опыта серверной разработки. Желательно профильное высшее образование по разработке (если...",https://hh.ru/
Педагог по компьютерному программированию,32302521,25000,30000,От 1 года,"Обязанности:


• Обучение детей в области информационных технологий;
• Обучение известным языкам программирования: Python, C++ и др.
• Приветствуется знание одной/нескольких продуктов :Arduino, Scratch, Blockly, ArduBlock, 3D-моделирования- 3Dграфика и анимация (3D Studio Max, Blender, AutoCad


Требования:

Уверенное владение ПК, опыт педагогической деятельности приветствуется.
Наличие справки о несудимости.
Условия:

Оформление по ТК, 5/2, отпуск летом",https://www.superjob.ru/
Инженер/Программист микроконтроллеров (стажер),46664652,19500,24500,Без опыта,"Вы еще не знаете о нас? Тогда немного о нашей Компании…
Компания «К Телеком» работает на телекоммуникационном рынке уже 15-ый год, мы предоставляем свои услуги в более чем 120 городах Свердловской, Челябинской областях и Пермском крае. Более 150 000 абонентов пользуются нашими услугами.
Что будет входить в круг Ваших обязанностей?
• 
Проектирование электрических схем и плат устройств;
• 
Программирование устройств;
• 
Написание системы управления устройствами и их Web-интерфейсов;
Что мы ждем от кандидата?
• 
Понимание TCP/IP;
• 
Знание Python, С++;
• 
Желание работать и зарабатывать, расти и развиваться!
Почему именно МЫ?
Работая в нашей компании, Вы получаете:
• Официальное трудоустройство согласно ТК РФ;
• Стабильный доход (окладно-премиальная система) все выплаты официальные;
• Гибкий график работы, позволяющий совмещать работу и обучение, с перспективой перехода на полный рабочий день;
• Надбавки за стаж от 1 года;
• Работа в молодой, дружной, амбициозной, динамично развивающейся компании;
• Внутрикорпоративное обучение + возможность внешнего обучения;
• Перспективы профессионального и карьерного роста;
• Возможность реализации своих идей.
Мы заботимся о наших сотрудниках, предоставляя:
• Выплату материальной помощи по случаю рождения детей;
• Новогодние подарки детям сотрудников на Новый год;
• Корпоративные и спортивные мероприятия, сплавы;
• Оплату предварительных и периодических медицинских осмотров;
• Частичную компенсацию питания;
• Корпоративный фитнес.
Где Вы будете работать?
В современном комфортабельном офисе в Пионерском районе (ост. ""Современник"")
Мы создали уютный современный офис, комфортное рабочее место, лаунж-зону, кофе-бар, обеденную зону.
Также на территории офиса имеется бесплатная охраняемая парковка.
Покоряй новые вершины в Компании К Телеком!
Открывай новые возможности и развивайся в успешной команде!",https://www.superjob.ru/
Стажер (Автотестирование / Python),83924361,0,20000,Нет опыта,"Знание Python уровня Junior. Базовые умения работы с системой управления версиями git, пакетным менеджером pip. Знание и умение работать с...",https://hh.ru/
Data Scientist (Python),82644423,0,0,От 1 года до 3 лет,"Базовые знания Python: кандидат должен быть знаком с основными конструкциями языка, структурами данных и уметь писать чистый и эффективный код. ",https://hh.ru/
Python-разработчик,83287956,0,0,От 1 года до 3 лет,"Python. MongoDB. MySQL. Flask. Django. FastAPI. Фреймворки для виртуализации и контейнеризации (Docker, kubernetes). Redis. Git/опыт развертывания CI/CD пайплайнов. ",https://hh.ru/
Программист-разработчик Python,83988491,0,0,От 1 года до 3 лет,"Python3+ от 2-х лет. Понимание принципов ООП, паттернов проектирования, SOLID. Опыт разработки под Windows. Понимание межсетевого взаимодействия...",https://hh.ru/
Разработчик на Python / Python Developer,83709872,0,0,От 1 года до 3 лет,Опыт профессиональной командной разработки проектов на Python от 2 лет. Опыт работы с Git. Уверенные знания ОС на базе Linux...,https://hh.ru/
Python-разработчик,84051060,0,0,От 3 до 6 лет,"Уверенное знание GIT, системы управления проектами. Знание Python 3.6+, Django, HTML, CSS, JavaScript, jQuery, Sql. Знание принципов работы...",https://hh.ru/
Python developer (Platform team),83996084,0,0,От 3 до 6 лет,Релевантный опыт от 4 лет на коммерческих проектах. Хорошие знания и опыт работы с Django. Опыт работы с реляционными базами...,https://hh.ru/
